id,text,label
0,listen to westbam alumb allergic on google music,PlayMusic
1,add step to me to the 50 clásicos playlist,AddToPlaylist
2,i give this current textbook a rating value of 1 and a best rating of 6,RateBook
3,play the song little robin redbreast,PlayMusic
4,please add iris dement to my playlist this is selena,AddToPlaylist
5,add slimm cutta calhoun to my this is prince playlist,AddToPlaylist
6,i want to listen to seventies music,PlayMusic
7,play a popular chant by brian epstein,PlayMusic
8,find fish story,SearchScreeningEvent
9,book a spot for 3 in mt,BookRestaurant
10,i need a forecast for jetmore  massachusetts in 1 hour and 1 second from now,GetWeather
11,rate this series a 5,RateBook
12,give me a list of movie times for films in the area,SearchScreeningEvent
13,can you play me some eighties music by adele,PlayMusic
14,please let me know the weather forcast of stanislaus national forest far in nine months,GetWeather
15,book a restaurant for eight people in six years,BookRestaurant
16,i need to book a restaurant in fork mountain  sc for valarie  mari and i,BookRestaurant
17,add to playlist confidence boost here comes santa claus,AddToPlaylist
18,book a restaurant at sixteen o clock in sc,BookRestaurant
19,add another artist to the spotlight on country 2016 playlist,AddToPlaylist
20,find a movie house showing cage without a key,SearchScreeningEvent
21,add sugarolly days to my list  your favorite slaughterhouse,AddToPlaylist
22,show me the picture creatures of light and darkness,SearchCreativeWork
23,search for the adventures of cookie & cream,SearchCreativeWork
24,add this track to my global funk,AddToPlaylist
25,find animated movies nearest at a movie house,SearchScreeningEvent
26,play hell house song,SearchCreativeWork
27,give this novel 5 stars,RateBook
28,find me showtimes for animated movies in the neighbourhood,SearchScreeningEvent
29,find movie times,SearchScreeningEvent
30,play the top-20 best chicane songs on deezer,PlayMusic
31,i want to give this current textbook 4 points,RateBook
32,add manuelita to my indiespensables playlist,AddToPlaylist
33,show movie schedules for douglas theatre company,SearchScreeningEvent
34,i d like to see the show onion sportsdome,SearchCreativeWork
35,i d like to go to the popular bistro in oh,BookRestaurant
36,what s the weather in my current spot the day after tomorrow,GetWeather
37,play playlist the realest down south,PlayMusic
38,add this artist to gretchen s soul revived playlist,AddToPlaylist
39,find a video game called victory march,SearchCreativeWork
40,find a novel called industry,SearchCreativeWork
41,book a taverna that serves vichyssoise within walking distance in oh,BookRestaurant
42,let me see the movie schedule for seed of chucky,SearchScreeningEvent
43,play a chant by mj cole,PlayMusic
44,what is the weather like in the city of frewen in the country of venezuela,GetWeather
45,put this song on my playlist  in the name of blues,AddToPlaylist
46,will it be colder in ohio,GetWeather
47,rate this album a 1,RateBook
48,in the area find some films,SearchScreeningEvent
49,what times will the young swordsman be showing at a local cinema,SearchScreeningEvent
50,book a brasserie for one,BookRestaurant
51,play all of your toys by chris ledoux,PlayMusic
52,i want to hear a joel hastings melody,PlayMusic
53,i want to book a restaurant not far from our college,BookRestaurant
54,rate in stars as a 6 for lord of the shadows which gets a four,RateBook
55,add rak biszewilo to my playlist named jazz,AddToPlaylist
56,rate my current book 1 out of 6,RateBook
57,what is the weather not far from upper klamath national wildlife refuge,GetWeather
58,add falling upstairs to the playlist named chill out,AddToPlaylist
59,will it storm in charles pinckney national historic site,GetWeather
60,play techno on lastfm,PlayMusic
61,add the entire album into indie español,AddToPlaylist
62,for the textbook  out of 6 possible i give the following one a 3,RateBook
63,show me the movie schedule for star theatres,SearchScreeningEvent
64,please find the movie dancing girl,SearchCreativeWork
65,rate this book 0 out of 6,RateBook
66,is happy ghost iii at caribbean cinemas,SearchScreeningEvent
67,play theme by yanni on vimeo,PlayMusic
68,rate the current novel a 3,RateBook
69,can you pull up a track on zvooq by graham mcpherson,PlayMusic
70,find resurrection of evil,SearchCreativeWork
71,find playstation官方杂志  a song,SearchCreativeWork
72,rate the current essay 2 out of 6,RateBook
73,add this album to the playlist called dishwashing,AddToPlaylist
74,find young miss holmes,SearchCreativeWork
75,i give christianity not mysterious 1 out of 6 points,RateBook
76,i d like to go to the venetian theatre in gabon  party of seven,BookRestaurant
77,is it supposed to rain nearby my current location at 0 o clock,GetWeather
78,give zero / 6 stars to the current album,RateBook
79,put playa fly onto my 2010 decade playlist,AddToPlaylist
80,show me the painting called fool for love,SearchCreativeWork
81,rate what the dog saw a two,RateBook
82,find a video game called a stroll in the pork,SearchCreativeWork
83,add bret mckenzie to my pop commute playlist,AddToPlaylist
84,what is the weather supposed to be like in new jersey three months from now,GetWeather
85,find the song called international journal of bilingualism,SearchCreativeWork
86,what films are playing at goodrich quality theaters,SearchScreeningEvent
87,i rated the island of adventure saga a 2 of 6,RateBook
88,i m looking for the trailer of highlands today,SearchCreativeWork
89,add this song to my playlist named wild country,AddToPlaylist
90,rate the princess mouse: a tale of finland one of 6,RateBook
91,search for police women of cincinnati,SearchCreativeWork
92,add artist to lo mejor de los 00 s,AddToPlaylist
93,i d like johnny nash to be put into my playlist always pop punk,AddToPlaylist
94,find the they came from somewhere else saga,SearchCreativeWork
95,i want to watch the television show naked ii,SearchCreativeWork
96,book a reservation for a pub with ma po tofu in moldova,BookRestaurant
97,show the three tales album,SearchCreativeWork
98,put this album in shuffle syndrome,AddToPlaylist
99,book me seats for 6 at the best brasserie that serves marche neighboring my hostel,BookRestaurant
100,play caitlin cary from the fourties,PlayMusic
101,add a track to my hands up playlist,AddToPlaylist
102,i d like to see the saga tamagotchi 64: minna de tamagotchi world,SearchCreativeWork
103,give the search for the snow leopard a rating of zero of 6 stars,RateBook
104,for the book tale of the toa i give five points,RateBook
105,will it be warmer now in covenant life,GetWeather
106,play rap album one by gene vincent,PlayMusic
107,i want to book the hat for my grandfather and i in arkansas,BookRestaurant
108,book a tea place at seven,BookRestaurant
109,find the movie schedule for animated movies around here,SearchScreeningEvent
110,add rosemary clooney to pura vida playlist,AddToPlaylist
111,i need a reservation for 6 pm  with a party of 10 at sand lake,BookRestaurant
112,what is the picture called lest we forget: the best of,SearchCreativeWork
113,find a photograph called call on me,SearchCreativeWork
114,add tune to my hype playlist,AddToPlaylist
115,what films are playing at the nearest movie theatre,SearchScreeningEvent
116,add por una cabeza to my playlist called this is new edition,AddToPlaylist
117,play a scott lafaro soundtrack,PlayMusic
118,add wastedagain to the wild & free workout playlist,AddToPlaylist
119,add this track to duetos,AddToPlaylist
120,find an art called cassidy,SearchCreativeWork
121,i want to eat at a pickled cucumber brasserie in 12 months,BookRestaurant
122,give this saga a 1,RateBook
123,add the song to the dub on the beach playlist,AddToPlaylist
124,i need a table at the ledbury at 18 o clock,BookRestaurant
125,will it be humid in beedeville on november 20,GetWeather
126,i want to give the canon of medicine one out of 6 stars,RateBook
127,play music from 2014,PlayMusic
128,play iheart,PlayMusic
129,please look up the falls church news-press album,SearchCreativeWork
130,find a television show called merced sun-star,SearchCreativeWork
131,find the closest movie theatre with films,SearchScreeningEvent
132,can you pull up channel m news,SearchCreativeWork
133,play 2011 music,PlayMusic
134,find a song called be quick or be dead,SearchCreativeWork
135,is live from sturgis 2006 playing at four o clock at the nearest cinema,SearchScreeningEvent
136,she me movie times,SearchScreeningEvent
137,put deep purple on this is jennifer lopez,AddToPlaylist
138,what is the weather in sint maarten,GetWeather
139,give 5 points to the deathlord of ixia,RateBook
140,which films are playing at malco theatres,SearchScreeningEvent
141,play lorenzo palacios quispe,PlayMusic
142,add this track to the classical music for smart kids playlist,AddToPlaylist
143,give five out of 6 to this novel,RateBook
144,give two out of 6 to a christmas carol,RateBook
145,show movie schedules,SearchScreeningEvent
146,find me the picture entitled i’ll take care of you,SearchCreativeWork
147,give this textbook zero out of 6 points,RateBook
148,weather for close-by parc national de kolkheti,GetWeather
149,i d like a table in a smoking room in a taverna on sep  23  2023,BookRestaurant
150,i give it a rating value of four to 6 to a book called liberalism and the limits of justice,RateBook
151,add om to my classic punk,AddToPlaylist
152,rate the current novel 0 of 6,RateBook
153,book me a table for seven people at a bar with a pool,BookRestaurant
154,i want to listen to swing music on iheart,PlayMusic
155,rate this essay a two,RateBook
156,use netflix to play music,PlayMusic
157,what will the weather be like 19 minutes from now in nepal,GetWeather
158,include laarni lozada on endorphin rush playlist,AddToPlaylist
159,make a reservation for 9 at a brasserie with parking,BookRestaurant
160,add my track to old school metal playlist,AddToPlaylist
161,what are the movie schedules for movies around here,SearchScreeningEvent
162,what s the weather forecast for moss hill,GetWeather
163,what will the weather be like not far from alabama on may 9  2037,GetWeather
164,play takes place in your work space by eddie kendricks,PlayMusic
165,ethiopia ellenton has snow weather at eight pm,GetWeather
166,find jono and ben,SearchCreativeWork
167,play top-twenty song from 2015,PlayMusic
168,i need seating at floating restaurant in tennessee for a group of 9,BookRestaurant
169,play music on groove shark,PlayMusic
170,give two stars to current chronicle,RateBook
171,find the boys in the band,SearchCreativeWork
172,i d like to find the soundtrack tianjin today evening news,SearchCreativeWork
173,show the philosophy and phenomenological research saga,SearchCreativeWork
174,what are the movie schedules,SearchScreeningEvent
175,wish to hear the album since i saw you last,SearchCreativeWork
176,what is the closest movie theatre that is playing moment to moment,SearchScreeningEvent
177,find a novel called east liberty,SearchCreativeWork
178,where is the chief cook playing,SearchScreeningEvent
179,can you play something from 1966 by mc ren on spotify,PlayMusic
180,play music from 2005 by justin broadrick,PlayMusic
181,i want to add a song by w c clark to my nerding around playlist,AddToPlaylist
182,add parempi mies to the café con leche playlist,AddToPlaylist
183,put this track on alok house party playlist,AddToPlaylist
184,rate this saga two with a bet rating of 6,RateBook
185,find movie times for close by movies,SearchScreeningEvent
186,i give this next essay zero out of 6 points,RateBook
187,play me a song by michael diamond,PlayMusic
188,show creativity of all for one,SearchCreativeWork
189,i d like to watch movies at the closest movie theatre,SearchScreeningEvent
190,what s the weather going to be in 7 hours in fm,GetWeather
191,add the crabfish to my playlist called the sleep machine rainforest,AddToPlaylist
192,where can i find the photograph of mr blobby,SearchCreativeWork
193,what is the forecast for cold temps in nevada,GetWeather
194,i need a reservation for four this year at a restaurant,BookRestaurant
195,play the song jingle bells,PlayMusic
196,play some 1993 concerto off of slacker,PlayMusic
197,book a spot for 1 at a south american restaurant,BookRestaurant
198,book a spot at a taverna for my cousin and i in burundi,BookRestaurant
199,play the top song from damon albarn using slacker,PlayMusic
200,find the show go with the flow,SearchCreativeWork
201,add heresy and the hotel choir to the evening acoustic playlist,AddToPlaylist
202,add songs tune in reggae infusions,AddToPlaylist
203,i give the last textbook one out of 6 points,RateBook
204,book a restaurant on june the fifth in cavour,GetWeather
205,add the patty patty sound  to my metal talks kreator playlist,AddToPlaylist
206,rate this essay a four,RateBook
207,book a spot for 4 at a restaurant in shambaugh md,BookRestaurant
208,give me the weather forecast for lower lake on sep  21  2038,GetWeather
209,add slave to the rhythm to the playlist massive soca hits,AddToPlaylist
210,add the block brochure welcome to the soil 6 onto my café con leche list,AddToPlaylist
211,looking for video game for those who would walk with the gods,SearchCreativeWork
212,can i get a table at the fort,BookRestaurant
213,find the schedule for rare birds at the nearest movie theatre at noon,SearchScreeningEvent
214,rate this chronicle one of 6 points,RateBook
215,the current saga deserves a 5 rating,RateBook
216,what will the weather be at my current location on december the 2nd  2029,GetWeather
217,is goodbye mr  chips showing twelve minutes from now,SearchScreeningEvent
218,add testifying to  donna s tokyo rising palylist,AddToPlaylist
219,when is you walk so softly playing at kerasotes theatres,SearchScreeningEvent
220,find the hundred-foot journey,SearchCreativeWork
221,this book gets points for being current and a three,RateBook
222,find the magical world of roger whittaker,SearchCreativeWork
223,add dr know to my todo alternativo playlist,AddToPlaylist
224,find me the seven-ups,SearchCreativeWork
225,add the name cry like a baby to my a mis niños de 30 playlist,AddToPlaylist
226,add matthew helders artist in showstopper being mary jane,AddToPlaylist
227,what is the forecast for temperate weather in bellechester,GetWeather
228,can you find me the trailer of the hippocratic oath,SearchCreativeWork
229,play the happiest days of our lives by tommy emmanuel,PlayMusic
230,play the fool on the hill by khwaja ghulam farid,PlayMusic
231,book a restaurant not far in milladore for 6 people,BookRestaurant
232,rate the current novel zero points,RateBook
233,play a twenties tune by jodie aysha,PlayMusic
