transcription,hypothesis,confusion,score
listen to westbam alumb allergic on google music,listen to <unk> allergic on google music,listen listen ; to to ; westbam <eps> ; alumb <unk> ; allergic allergic ; on on ; google google ; music music,1.0
add step to me to the 50 clásicos playlist,i  'd step to major the fifty classical <unk>,<eps> i ; add 'd ; step step ; to to ; me <eps> ; to major ; the the ; 50 fifty ; clásicos classical ; playlist <unk>,1.0
i give this current textbook a rating value of 1 and a best rating of 6,i give this current textbook a rating value of one end up best rating of six,i i ; give give ; this this ; current current ; textbook textbook ; a a ; rating rating ; value value ; of of ; 1 one ; and end ; a up ; best best ; rating rating ; of of ; 6 six,1.0
play the song little robin redbreast,play the song little robbing grad breast,play play ; the the ; song song ; little little ; <eps> robbing ; robin grad ; redbreast breast,1.0
please add iris dement to my playlist this is selena,pleased at irish demand to my <unk> this is selina,please pleased ; add at ; iris irish ; dement demand ; to to ; my my ; playlist <unk> ; this this ; is is ; selena selina,1.0
add slimm cutta calhoun to my this is prince playlist,<unk>,add <eps> ; slimm <eps> ; cutta <eps> ; calhoun <eps> ; to <eps> ; my <eps> ; this <eps> ; is <eps> ; prince <eps> ; playlist <unk>,1.0
i want to listen to seventies music,i want to listen to seventies music,i i ; want want ; to to ; listen listen ; to to ; seventies seventies ; music music,1.0
play a popular chant by brian epstein,play a <unk>,play play ; a a ; popular <eps> ; chant <eps> ; by <eps> ; brian <eps> ; epstein <unk>,1.0
find fish story,find fish story,find find ; fish fish ; story story,1.0
book a spot for 3 in mt,book a spot for three and m t,book book ; a a ; spot spot ; for for ; <eps> three ; 3 and ; in m ; mt t,1.0
i need a forecast for jetmore  massachusetts in 1 hour and 1 second from now,i need a forecast for jet more massachusetts in one hour and one second from now,i i ; need need ; a a ; forecast forecast ; for for ; <eps> jet ; jetmore more ; massachusetts massachusetts ; in in ; 1 one ; hour hour ; and and ; 1 one ; second second ; from from ; now now,1.0
rate this series a 5,right the series of five,rate right ; this the ; series series ; a of ; 5 five,1.0
give me a list of movie times for films in the area,give me a list of movie dimes phones india,give give ; me me ; a a ; list list ; of of ; movie movie ; times <eps> ; for <eps> ; films <eps> ; in dimes ; the phones ; area india,1.0
can you play me some eighties music by adele,can you play me some eighties music by adele,can can ; you you ; play play ; me me ; some some ; eighties eighties ; music music ; by by ; adele adele,1.0
please let me know the weather forcast of stanislaus national forest far in nine months,please let me know the way the full <unk> national forest fire in nine months,please please ; let let ; me me ; know know ; the the ; weather way ; forcast the ; of full ; stanislaus <unk> ; national national ; forest forest ; far fire ; in in ; nine nine ; months months,1.0
book a restaurant for eight people in six years,look at a restaurant for eight people in six years,<eps> look ; book at ; a a ; restaurant restaurant ; for for ; eight eight ; people people ; in in ; six six ; years years,1.0
