id,text,label
0,listen to <unk> allergic on google music,PlayMusic
1,i  'd step to major the fifty classical <unk>,AddToPlaylist
2,i give this current textbook a rating value of one end up best rating of six,RateBook
3,play the song little robbing grad breast,PlayMusic
4,pleased at irish demand to my <unk> this is selina,AddToPlaylist
5,<unk>,AddToPlaylist
6,i want to listen to seventies music,PlayMusic
7,play a <unk>,PlayMusic
8,find fish story,SearchScreeningEvent
9,book a spot for three and m t,BookRestaurant
10,i need a forecast for jet more massachusetts in one hour and one second from now,GetWeather
11,right the series of five,RateBook
12,give me a list of movie dimes phones india,SearchScreeningEvent
13,can you play me some eighties music by adele,PlayMusic
14,please let me know the way the full <unk> national forest fire in nine months,GetWeather
15,look at a restaurant for eight people in six years,BookRestaurant
16,i need to be a good restaurant insult mountainous <unk>,BookRestaurant
17,i took platelets confidence boost here comes santa cruz,AddToPlaylist
18,book a restaurant at sixteen o clock in s c,BookRestaurant
19,add another artist to the spotlight on country twenty sixteen play list,AddToPlaylist
20,find a movie house showing cage without to <unk>,SearchScreeningEvent
21,add sugar ali days to my list your favorite slaughterhouse,AddToPlaylist
22,showing me the picture creatures of life and do  n't <unk>,SearchCreativeWork
23,such for the adventures of cooking cream,SearchCreativeWork
24,at this truck to my global funk,AddToPlaylist
25,find the animated movies nearest it to a movie house,SearchScreeningEvent
26,play how how song,SearchCreativeWork
27,give this novel five stars,RateBook
28,find me showtime the animated movies in the neighborhood,SearchScreeningEvent
29,fine movie dimes,SearchScreeningEvent
30,play the top twenty best she came songs on days,PlayMusic
31,i want to give this current textbook full points,RateBook
32,add manually to to my indispensable play list,AddToPlaylist
33,show movies scheduled for douglas theatre company,SearchScreeningEvent
34,i do like to see the show onion sports do  n't,SearchCreativeWork
35,oh i do like to go to the <unk> you know,BookRestaurant
36,what  's the weather in my current spot the day after tomorrow,GetWeather
37,play play at least a realist down south,PlayMusic
38,at this artistic gretchen as soul revived play list,AddToPlaylist
39,find a video game called victory much,SearchCreativeWork
40,find a noble cold industry,SearchCreativeWork
41,well <unk> know that says <unk> within walking distance you know,BookRestaurant
42,let me see the movie <unk>,SearchScreeningEvent
43,play a change by m j call,PlayMusic
44,what is the weather like in the city of fruit and in the country of venezuela,GetWeather
45,put these selling on my <unk>,AddToPlaylist
46,will it be colder in ohio,GetWeather
47,rape this album or one,RateBook
48,in the area find some films,SearchScreeningEvent
49,well times while they  're young so it  's men be showing us a local cinemax,SearchScreeningEvent
50,but <unk> for one,BookRestaurant
51,play all of your toys by <unk>,PlayMusic
52,i want to hear a joel hastings melody,PlayMusic
53,i went to a book a restaurant not far from our college,BookRestaurant
54,<unk> as a six foot lord of the shadows which gets a full,RateBook
55,<unk> to my play last name jazz,AddToPlaylist
56,they  'd like i did  n't look run out of six,RateBook
57,what is the weather not far from <unk> national wildlife refuge,GetWeather
58,i  'd fooling upstairs to the play listening chill out,AddToPlaylist
59,well it  's storming charles <unk> national historic side,GetWeather
60,play techno on last fm,PlayMusic
61,at the entire album into india spaniel,AddToPlaylist
62,for the text book out of six possible i give the following one at three,RateBook
63,show me the movie <unk>,SearchScreeningEvent
64,please find a movie dancing girl,SearchCreativeWork
65,read this book zero out of six,RateBook
66,is happy <unk> caribbean cinemas,SearchScreeningEvent
67,play team by yummy on video,PlayMusic
68,right the current novel at three,RateBook
69,can you pull up a track homes that v o l i q by <unk>,PlayMusic
70,find resurrection of fever,SearchCreativeWork
71,find playstation <unk> song,SearchCreativeWork
72,right the current essay two out of six,RateBook
73,they sell them to the platelets cool dishwashing,AddToPlaylist
74,find young miss homes,SearchCreativeWork
75,i give christianity not mysterious one out of six points,RateBook
76,i d like to go to the venetian theater and got bone party of seven,BookRestaurant
77,is it supposed to rain nearby current location that zero,GetWeather
78,you have a zero six dollars to the current album,RateBook
79,put <unk> under my twenty ten decade play list,AddToPlaylist
80,show me the painting called fool for love,SearchCreativeWork
81,right what the dog side too,RateBook
82,find a video game called a stroll in the poor,SearchCreativeWork
83,i  'd brett mackenzie to my <unk>,AddToPlaylist
84,what  's the weather is supposed to be like in new jersey three months from now,GetWeather
85,find the song called international journal bilingualism,SearchCreativeWork
86,what films are playing a good quality theaters,SearchScreeningEvent
87,oh right it  'd be <unk> venture soccer a to have six,RateBook
88,i am looking for the trailer of highlands today,SearchCreativeWork
89,at this song to my platelets named wild country,AddToPlaylist
90,right the princess mouse a tailor finland one of six,RateBook
91,search for police women of cincinnati,SearchCreativeWork
92,i doubt as to learn magic to los l o s,AddToPlaylist
93,i d like johnny nash to be put into my play list always <unk>,AddToPlaylist
94,find that they came from somewhere else saga,SearchCreativeWork
95,i want to watch the television show <unk>,SearchCreativeWork
96,that could reservation for the pub with <unk>,BookRestaurant
97,showed that three tails album,SearchCreativeWork
98,put this album and shuffled syndrome,AddToPlaylist
99,book me seats for six at the best <unk> shine they bring my hostile,BookRestaurant
100,play caitlin kerry from the forties,PlayMusic
101,i did track to my hands up <unk>,AddToPlaylist
102,i do like to see the saga time ago she sixty four minute atomic she well,SearchCreativeWork
103,give the such for the snow like pay the raising of zeros <unk>,RateBook
104,for the book tail of the toll i give five points,RateBook
105,well it  'd be warmer now in covenant life,GetWeather
106,play rep album one by gene vincent,PlayMusic
107,i went to a book that had from my grandfather and i in arkansas,BookRestaurant
108,well <unk> place at seven,BookRestaurant
109,find the movie  's schedule for animated movies around here,SearchScreeningEvent
110,i  'd rosemarie <unk>,AddToPlaylist
111,i need a reservation for six p m with a <unk>,BookRestaurant
